รหัสวิชา,ชื่อวิชา,หน่วยกิต,คณะต้นสังกัด,กลุ่มสาระ - 64,สมรรถนะ - 67
01355206," ภาษาอังกฤษวิชาการ
 (Academic English)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
7 - ด้านการเรียนรู้ตลอดชีวิต"
01355207," การเขียนโต้ตอบภาษาอังกฤษ
 (English Correspondence)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด"
01355208," การพัฒนาทักษะภาษาอังกฤษผ่านเกม
 (English Skill Development through Games)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง"
01355209," ภาษาอังกฤษเพื่อการสื่อสารในงานอาชีพ
 (Communicative English for Careers)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม"
01355303," ภาษาอังกฤษเพื่อการสมัครงาน
 (English for Employment)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
6 - ด้านการจัดการตนเอง
7 - ด้านการเรียนรู้ตลอดชีวิต
8 - ด้านความเป็นพลเมือง"
01355304," ภาษาอังกฤษสำหรับการเดินทาง (English for Travel)
 ***(ตั้งแต่ภาคต้น ปีการศึกษา 2566 เป็นต้นไป)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
7 - ด้านการเรียนรู้ตลอดชีวิต"
01355306," ภาษาอังกฤษเพื่อความเข้าใจและซาบซึ้งในศิลปะและวัฒนธรรมไทย
 (English for Understanding and Appreciating Thai Art and Culture)
 ***(ตั้งแต่ภาคต้น ปีการศึกษา 2566 เป็นต้นไป)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม"
01355307," ทักษะรวมภาษาอังกฤษเพื่อการสื่อสาร
 (Integrated English Language Skills for Communication)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
5 - ด้านพหุวัฒนธรรม
8 - ด้านความเป็นพลเมือง"
01356101," ภาษาฝรั่งเศสเบื้องต้น I
 (Elementary French I)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
2 - ด้านภาวะผู้นำ
4 - ด้านทักษะการคิด
7 - ด้านการเรียนรู้ตลอดชีวิต"
01356102," ภาษาฝรั่งเศสเบื้องต้น II
 (Elementary French II)",3(3-0-6),คณะมนุษยศาสตร์,ภาษากับการสื่อสาร,"1 - ด้านการสื่อสารและสารสนเทศ
4 - ด้านทักษะการคิด
7 - ด้านการเรียนรู้ตลอดชีวิต"
